adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/nkpcnsPoYQ4XkhB0qqdzog6LWmt.jpg,"[35, 18]",653457,hi,मिमी,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",8.2,/5vq8UrzaTzT4QEs75HYYsK52EaN.jpg,2021-07-26,Mimi,False,7.1,48
False,/kv16GWa7ECmrhwJVg4xRVMM5YGM.jpg,"[28, 80, 18, 53]",679844,hi,राधे,"As Mumbai’s youth are falling prey to rampant drug abuse, suspended cop Radhe is recalled for a clean-up mission. But Radhe is up against a dangerous new outlaw Rana, who will stop at nothing to rule the city.",4.889,/3l7FGKHDanLhEI1ECdmzK9LnJrj.jpg,2021-05-12,Radhe,False,4.5,34
False,/rf1GLwpT0LU20DDFROHBAz8SHI3.jpg,"[18, 10751]",744991,hi,त्रिभंग,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",3.63,/lbGINHbqJ7zYcIpsoIaEEASNrBM.jpg,2021-01-15,Tribhanga,False,7.1,26
False,/fbALWEldsKHueCvEjHqarf9rmiM.jpg,"[18, 35]",786190,hi,पगलैट,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",7.19,/bbtNwSFTDG6VzZrL1vBmGgRQAoA.jpg,2021-03-26,Pagglait,False,6.7,29
False,/rqEi4HHjAiaIcxZRW4QSBCzf8kY.jpg,"[27, 35]",694103,hi,रूही,Roohi is set in a fictional town of North India. The film revolves around two small-town boys Bhaura and Kattanni who are stuck in a forest with Roohi. But there’s an insidious spirit following them with feet turned backwards.,4.611,/qHpEGFx13ntiAVl94e08EJ5ss4U.jpg,2021-03-11,Roohi,False,4.3,20
False,/4Lsf53TGpdusmCrAlVfKR3STlCT.jpg,"[53, 9648, 18]",695951,hi,Chehre,"An ad agency executive takes shelter at an old man's home in mountains amid a dangerous snow storm, but soon finds himself trapped with no way out when the man and his clan of veterans hook him for a game of crime and punishment.",5.918,/egpv58u11MxepnNwXtzdMOagRdg.jpg,2021-08-27,Chehre,False,6.8,14
False,/a6NAH3x0oFd6jxBLFDNkNqEo8cm.jpg,"[10749, 35]",828871,hi,Meenakshi Sundareshwar,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups — and hilarity — that arise from their long-distance marriage.",3.743,/qDuTWET9QdSronOvoyWj2MjVvVr.jpg,2021-11-05,Meenakshi Sundareshwar,False,5.4,17
False,/cMyFAXEQ5fegPpbX8yJp1qR1zSr.jpg,[],669583,hi,Did It Happen?,"In A not-so- typical scenario, Ishan a young, charismatic boy is staying with his mom's friend, someone he's attracted to. While his imagination often does run wild, Ishan is stuck in a conundrum - did it really happen?",13.88,/kt4yDO3dSYodlABtIdqZiwtGBPN.jpg,2020-02-02,Did It Happen?,False,6.4,5
False,/hwBFGNabkGv2ZIyFUnCTSSmprf7.jpg,"[27, 14]",714338,hi,Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",13.78,/4XYEqHqvcf6vxFhNyeKZz5xbUfV.jpg,2020-06-24,Bulbbul,False,6.8,100
False,/l6nZmCpcqIkpbpEXDJVL7OS1RMX.jpg,"[28, 12, 53]",594669,hi,बाघी ३,A man embarks on a bloody rampage to save his kidnapped brother.,9.811,/14nxzkz2ZE0BXoywF6UnP5rjfcL.jpg,2020-03-06,Baaghi 3,False,7.2,90
False,/tLdcFrsniNWrGCwkwcRcH79WAVh.jpg,"[28, 18, 36]",584850,hi,तानाजी: द अनसंग वॉरियर,"When Aurangzeb recruits his trusted soldier Udaybhan to control the Kondhana fort, Shivaji's military leader Tanhaji Malusare and his army of Maratha warriors set out to recapture the fortress.",7.261,/fZhgcUVwV7ocglL5XDq4ygsfXqD.jpg,2020-01-10,Tanhaji: The Unsung Warrior,False,6.5,51
False,/jnknqgbsm1Zo3nzPRn5uUPPSuZ3.jpg,"[18, 53]",710667,hi,Climax,"Diane and her boyfriend try to do things out of the blue and enter a desert even after there is a no-entry board written on it. In this situation, scary things and some crazy people start troubling them. The couple runs for their life and reaches a small town only to know there are more dangerous situations are in store for them. Who is behind these incidents and how the couple comes out of this mess forms the crux of the story.",5.994,/cVqHayKSNCjaxphA7jpWNLUwz4E.jpg,2020-06-06,Climax,False,4.2,7
False,/t7yjtDJXAxc0p5awbRGoWCOewsm.jpg,"[53, 18]",675592,hi,Guilty,A young woman from a small town accuses the college heartthrob of sexual assault.,8.098,/1No7DCXC4jcAeHqn50mgjZ2NRgY.jpg,2020-03-06,Guilty,False,6.7,49
False,/1vwG1kzZphSx6p0mb3s3Me4nYoF.jpg,"[80, 35]",658412,hi,लूडो,"Ludo is about the butterfly effect and how, despite all the chaos and crowd of the world, all our lives are inextricably connected. From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",9.939,/frB57nMDmu4NnSzjmrq0lEx5iod.jpg,2020-11-12,Ludo,False,7.3,80
False,/w7zV77jwfGXPKq0kKYFi1wGu1sc.jpg,[53],601807,hi,Mrs. Serial Killer,"When her husband is framed and imprisoned for serial murders, a doting wife must perform a copycat murder, to prove her husband's innocence.",6.483,/4qogeMcCcqilL2PGUUY7KbrpWsj.jpg,2020-05-01,Mrs. Serial Killer,False,6.4,75
False,/4FFjYrq5v9ynJeKWcOrg3BZKJjD.jpg,[27],601643,hi,Ghost Stories,An anthology of four short horror tales.,7.498,/tQeLzheMNQClBAXy9t1HvZFzhYD.jpg,2020-01-01,Ghost Stories,False,5.2,59
False,/ezaMkH1y6fFvJydpsc3Hf3oXcIu.jpg,"[28, 18]",645489,hi,गुंजन सक्सेना: द कारगिल गर्ल,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,8.235,/llWz6LbVpGPChnNnhAiGJyPMDwP.jpg,2020-08-12,Gunjan Saxena: The Kargil Girl,False,7.4,67
False,/b7KaTQgoiicSC6bTU9xax8b9tz9.jpg,"[18, 35]",606717,hi,अंग्रेजी मिडीयम,"When his daughter decides to further her studies in London, a hardworking Haryanvi businessman does everything in power to make her dreams come true.",7.15,/hT41Fi3NAqkPpNkWt7imaOtxGDP.jpg,2020-03-13,Angrezi Medium,False,7.2,48
False,/qM9xmkvCpQvOHgikuKE6ik3TXjv.jpg,"[35, 28, 18, 80]",735919,hi,AK vs AK,"After a public spat with a movie star,  a disgraced director retaliates by kidnapping the actor's daughter, filming the search for her in real-time.",6.622,/4ULEEvH0hDYnbWN3nClrb88sYCF.jpg,2020-12-24,AK vs AK,False,7,41
False,/3e46k8KPCs1N7luAqNDFZFzrbbE.jpg,"[10749, 28, 18]",661043,hi,मलंग,"Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.",5.782,/noi7E47L0bpu60DO1jcYAvCqfSS.jpg,2020-02-06,Malang,False,7.3,39
False,/lwZyObPbSo2t57EsRIm6e8KF5WD.jpg,"[80, 9648, 53]",589615,hi,रात अकेली है,"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.",6.443,/lQPWcvQiv1D1xBlpnn5o0hepXkX.jpg,2020-07-31,Raat Akeli Hai,False,6.8,53
False,/bNixlnIPYJCXFPo7voIVCaNCXa5.jpg,"[35, 18]",614179,hi,Coolie No. 1,"Insulted by Rosario, a rich businessman, Jai Kishen a Matchmaker teaches him a lesson by getting his daughter married to Raju, a Coolie, who poses to be a millionaire. They sense something fishy and Raju's deceptions are discovered. In an attempt to cover it up, he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go awry culminating in a comedy of errors.",6.366,/5J2LiufXsOPAtO7ZiMBx0ksuoPu.jpg,2020-12-25,Coolie No. 1,False,5.7,51
False,/tvOPiqyjd8zOdvQb8iIAOtE90bB.jpg,[],849775,hi,Bye 2,,7.062,/mNbxFBXO61WtxCoEMKSUPttJVM6.jpg,2020-12-07,Bye 2,False,0,0
False,/mxRjxyDIk9BeZBBB40TiXn3s8ZZ.jpg,"[28, 80, 18]",730428,hi,क्लास ऑफ '83,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,4.959,/2CFOpEKVxIjRMeu8K9agmDZ2ms9.jpg,2020-08-21,Class of '83,False,6,30
False,/ae1vyvzNIjhkSuwswAaHvwfvwpp.jpg,"[18, 35]",611356,hi,गुलाबो सिताबो,"Set in present-day Lucknow, Gulabo Sitabo is a social satire about two impossibly peculiar human beings, Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Bankey Rastogi.",6.628,/kHZgf2kWnedWSVC1QK8kck4vuyt.jpg,2020-06-12,Gulabo Sitabo,False,5.7,36
False,/tnwoGCRe2GV05f1RSIl1PusYc9v.jpg,"[18, 10749]",645484,hi,दिल बेचारा,"Kizie and Manny, two ordinary people brought together by a tragic twist, embark on a bittersweet and extraordinary journey into the heart of that crazy little thing called 'life'.",7.139,/lMFjMrc8Bn0CQhtJDORfspXrWrK.jpg,2020-07-24,Dil Bechara,False,6.9,74
False,/4CGBZuEfG2VmxDb2mNtQdHwPurq.jpg,[18],668435,hi,थप्पड़,Amrita's life gets shattered into pieces when her husband slaps her at a party and this particular action raises several questions as to what her relationship stands for.,6.023,/4NSjlaYhOZRJzsaxsF6KU4BEXE9.jpg,2020-02-27,Thappad,False,7.2,50
False,/21bk7sqIsFfeof4vppwGEw1Ahvw.jpg,"[28, 53]",466550,hi,Drive,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,14.677,/1ZUNyvVGTPkeBVXXTMnhIRoXlfo.jpg,2019-11-01,Drive,False,5.3,48
False,/64GBB3Qp1sG9AJZediJKEjUkUwI.jpg,"[28, 12]",560964,hi,जंगली,A vet returns home to his father's elephant reserve where he encounters and fights an international poacher's racket.,12.532,/4Jwof1qQ6U99TZFkBCngBdfW8J2.jpg,2019-03-29,Junglee,False,6.7,90
False,/5Tw0isY4Fs08burneYsa6JvHbER.jpg,"[28, 53, 12]",585268,hi,War,"Khalid, is entrusted with the task of eliminating Kabir, a former soldier turned rogue, as he engages in an epic battle with his mentor who had taught him everything.",13.612,/zpN2QYgiCNzG11k0tG3qfILgFYE.jpg,2019-10-02,War,False,6.7,191
False,/S3EIcOUQYxgd3QzjOo2rZJ2MN8.jpg,"[28, 18, 10752]",554600,hi,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",9.815,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,2019-01-11,Uri: The Surgical Strike,False,7.1,165
False,/cuTYUFG7FOupFsn45H44tgu7bmp.jpg,"[18, 10749]",514586,hi,फोटोग्राफ,"A struggling street photographer, pressured to marry by his grandmother, convinces a shy stranger to pose as his fiancée. The pair develops a connection that transforms them in ways that they could not expect.",9.575,/4t8Vgj9UL1TCGmyZHbQxPtSCXrp.jpg,2019-03-15,Photograph,False,6.6,66
False,/1J9ml5m02FeZkjycbEIxTy9MEiZ.jpg,"[10749, 35, 18]",596650,hi,छिछोरे,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,9.534,/cGDPQtQ5igtPMt3oJ6BCAor6dFp.jpg,2019-09-05,Chhichhore,False,7.7,101
False,/gcZbciueHH7WmD03GcVZX7LYqmR.jpg,"[18, 10402]",491625,hi,गल्ली बॉय,A coming-of-age story based on the lives of street rappers in Mumbai.,8.698,/4RE7TD5TqEXbPKyUHcn7CSeMlrJ.jpg,2019-02-14,Gully Boy,False,7.5,145
False,/vHmD89xoU37daeCEHcCXcnTojZB.jpg,"[36, 18, 28]",491622,hi,iमणिकर्णिका,"Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.",8.63,/kbTzlKKnZHZ8RYulknO4xqQOJ24.jpg,2019-01-25,Manikarnika: The Queen of Jhansi,False,7.1,34
False,/notcxmT6RN93g43BnRI8GvRktZ.jpg,"[28, 18, 36, 10752]",498448,hi,केसरी,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",8.617,/ctjT1pMNAGD9ou0kuhz806tf7kX.jpg,2019-03-21,Kesari,False,7.2,80
False,/yFwn006ETsYVykpI8OKocgY0Bi3.jpg,"[18, 10749]",577328,hi,कबीर सिंह,"Kabir, a genius yet hostile medical student, falls in love with Preeti from his college. When Preeti's father spots the couple kissing, he opposes their relationship and decides to marry her off.",9.478,/q2jY2IKv1hpnkgbAvILVupZMFyq.jpg,2019-06-20,Kabir Singh,False,6.7,105
